word,frequency
the,328571
a,158545
and,158455
of,143048
to,131719
is,103303
in,91808
i,76336
it,75759
this,74201
that,66723
br,57192
was,47214
as,44565
with,42974
for,42757
movie,41661
but,40030
film,36967
on,33149
you,30028
not,29667
are,28846
his,28027
have,27381
be,26097
one,25499
he,25287
at,23138
all,22081
by,21776
an,21325
they,20574
from,19889
who,19806
so,19593
like,19344
or,17350
just,17236
if,16966
about,16645
out,16359
has,16185
her,16101
it's,16059
some,15312
there,15197
what,15050
good,13974
when,13789
more,13601
very,13599
my,12308
no,12113
even,12070
up,12010
would,11887
time,11460
she,11403
their,11335
see,11301
really,11283
only,11242
which,11177
can,10781
had,10737
story,10625
were,10365
me,10288
much,9361
than,9332
we,9308
well,9303
been,9020
get,8979
other,8925
great,8919
do,8855
will,8845
bad,8762
also,8742
into,8713
how,8635
because,8610
people,8568
most,8532
him,8379
don't,8321
first,8291
its,7919
then,7736
them,7688
make,7569
could,7441
made,7415
any,7367
way,7316
movies,7267
too,7264
after,7229
characters,7016
think,6987
watch,6789
many,6729
films,6630
seen,6546
being,6465
never,6436
character,6404
two,6371
love,6319
know,6227
did,6212
acting,6173
where,6147
plot,6080
best,6050
show,6046
little,5928
ever,5816
your,5745
life,5651
does,5610
better,5496
off,5410
scene,5349
say,5288
these,5279
still,5178
end,5166
over,5127
scenes,5085
why,5060
man,5048
while,4979
something,4932
such,4824
here,4823
those,4672
should,4638
go,4633
through,4622
i'm,4546
thing,4505
watching,4480
back,4459
real,4447
now,4446
didn't,4386
doesn't,4287
actors,4246
funny,4237
actually,4205
another,4194
years,4104
before,4103
makes,4099
find,4071
look,4063
lot,4046
though,4034
going,4017
same,3994
nothing,3990
every,3974
work,3899
few,3864
us,3734
part,3734
old,3721
new,3718
director,3664
again,3633
want,3581
things,3558
pretty,3551
quite,3523
can't,3494
cast,3465
around,3452
seems,3441
down,3437
take,3432
enough,3372
both,3361
thought,3353
however,3352
got,3343
fact,3338
big,3332
young,3329
horror,3326
world,3307
give,3298
music,3278
i've,3262
that's,3262
may,3198
own,3188
between,3161
long,3152
saw,3148
without,3144
must,3106
guy,3102
isn't,3091
almost,3076
always,3063
comedy,3061
right,3048
whole,3023
come,3018
gets,3009
there's,3005
times,2990
role,2977
interesting,2972
least,2963
am,2961
done,2923
far,2898
original,2883
series,2875
bit,2859
might,2843
minutes,2839
action,2838
point,2828
since,2796
feel,2793
anything,2759
he's,2755
script,2755
probably,2754
last,2734
tv,2728
kind,2713
yet,2647
anyone,2642
each,2610
performance,2603
away,2603
fun,2579
found,2570
worst,2556
played,2549
sure,2549
rather,2534
family,2513
our,2495
believe,2457
everything,2433
although,2429
dvd,2424
girl,2407
trying,2404
making,2386
especially,2379
worth,2376
having,2370
shows,2356
looking,2352
put,2337
course,2334
main,2332
hard,2330
maybe,2327
woman,2315
goes,2295
ending,2276
three,2263
comes,2259
day,2249
watched,2243
different,2242
effects,2232
screen,2224
place,2214
once,2210
book,2198
play,2197
war,2175
during,2168
sense,2165
reason,2161
someone,2153
set,2149
wasn't,2134
american,2122
job,2120
together,2119
everyone,2109
true,2106
